Entity,Code,Year,Births_Combined,Deaths_Combined,Data_Type,Entity_Type,Population in thousands,Urban Population (%),Dependency Ratio (%),region,sub-region,intermediate-region,Birth_Rate,Death_Rate,cluster_k2,cluster_k3,cluster_k4,cluster_k5,PC1,PC2,distance
Rwanda,RWA,1994,326292,1045769,Estimate,Country,6732.665,8.49021,107.561,Africa,Sub-Saharan Africa,Eastern Africa,48.464018334493105,155.32764514497603,1,1,1,0,13.738281141110473,20.91494421263037,25.02349416307867
Cambodia,KHM,1976,147296,555801,Estimate,Country,6307.122,4.81959,87.556,Asia,South-eastern Asia,,23.353916413857224,88.1227602700566,1,1,1,0,7.17200869850693,11.396053318250638,13.465056256988696
Cambodia,KHM,1977,110966,527082,Estimate,Country,6040.197,5.18556,85.432,Asia,South-eastern Asia,,18.371255109725727,87.26238564735554,1,1,1,0,6.841227790100176,11.390156120794295,13.286762364553175
Cambodia,KHM,1975,185959,569757,Estimate,Country,6727.922,4.47731,88.61,Asia,South-eastern Asia,,27.639886431501438,84.68543481925029,1,1,1,0,7.120968335369897,10.775173886468627,12.915593765560146
Cambodia,KHM,1978,132018,489494,Estimate,Country,5961.193,5.57825,83.25,Asia,South-eastern Asia,,22.14623817749232,82.11342930852935,1,1,1,0,6.540618946044757,10.58355086101869,12.441512971706016
Central African Republic,CAF,2009,197666,328277,Estimate,Country,4564.54,38.69421,91.955,Africa,Sub-Saharan Africa,Middle Africa,43.304692258146495,71.91896664285996,1,1,1,0,6.291325646216539,8.633564587573984,10.682659588068576
Central African Republic,CAF,2022,231576,281036,Estimate,Country,5579.144,43.12049,102.618,Africa,Sub-Saharan Africa,Middle Africa,41.50744271881134,50.37260196187802,1,1,1,0,4.801762376599739,5.156193949213797,7.045797184367269
Somalia,SOM,1991,353632,300577,Estimate,Country,6732.702,30.00707,98.835,Africa,Sub-Saharan Africa,Eastern Africa,52.52452878502568,44.64433447373729,1,1,1,0,4.942585238171977,4.117961556001109,6.433253936640354
Somalia,SOM,1992,334425,276930,Estimate,Country,6428.141,30.35854,96.777,Africa,Sub-Saharan Africa,Eastern Africa,52.02515003949043,43.08088450455583,1,1,1,0,4.742944272936777,3.929283928227059,6.159122710646967
Burundi,BDI,1972,176528,145990,Estimate,Country,3579.195,3.10055,94.312,Africa,Sub-Saharan Africa,Eastern Africa,49.32058745053008,40.788501325018615,1,1,1,0,4.865804984842625,3.5573710566842935,6.027515822082466
Bangladesh,BGD,1971,3345133,2802344,Estimate,Country,68376.204,7.90124,92.821,Asia,Southern Asia,,48.92247308727463,40.98419970783988,1,1,1,0,4.7412378380336,3.6443190565221664,5.979999801215058
