Entity,Births_Sum,Births_Count,Births_Mean,Births_Min,Births_Max,Births_Var,Births_Std,Births_Mode,Births_Kurt,Deaths_Sum,Deaths_Count,Deaths_Mean,Deaths_Min,Deaths_Max,Deaths_Var,Deaths_Std,Deaths_Mode,Deaths_Kurt
Afghanistan,198454871,151,1314270.6688741723,383985,1912670,310894905930.3428,557579.5063758555,No Mode,-1.4850959382380702,66688639,151,441646.61589403974,218356,1161692,70177466522.49153,264910.29901174386,No Mode,0.619542611397593
Africa (UN),6125931193,151,40569080.74834437,10878554,56538320,255017513245643.2,15969267.774248235,No Mode,-1.2488137622190358,2440679943,151,16163443.331125828,6126234,38248508,85858716653681.78,9265997.876844231,No Mode,-0.3663393240708812
Albania,5514264,151,36518.30463576159,7147,85490,711439550.4532447,26672.824193422875,No Mode,-1.3585553671340536,3718091,151,24623.119205298015,16707,30694,24637380.35902868,4963.605580525983,No Mode,-1.5806031353277459
Algeria,111124072,151,735921.0066225166,456352,1042868,16058074722.233307,126720.45897262725,No Mode,-0.12861057500744488,52891628,151,350275.6821192053,146103,698466,30521102071.511616,174702.89657447473,No Mode,-1.216794068625611
American Samoa,121900,151,807.2847682119206,304,1894,194000.20503311287,440.45454366269496,305,-0.38405868999334114,46540,151,308.2119205298013,140,458,11820.70145695365,108.72304933616262,142,-1.4500058236755906
Americas (UN),1968020388,151,13033247.602649007,9497416,16576457,4647810391181.289,2155878.102115537,No Mode,-1.2876182609570082,1342922431,151,8893526.033112584,4491792,13990600,12790409983413.562,3576368.26730883,No Mode,-1.6222265005844934
Andorra,71242,151,471.80132450331126,89,873,37027.28026490062,192.42473922263898,394,-0.41171986179851805,92409,151,611.9801324503311,58,1222,164185.3929359823,405.19796758619395,60,-1.4446952175622516
Angola,205383870,151,1360158.0794701986,201604,2353811,637371553276.2742,798355.5306229638,No Mode,-1.5977085128634174,63593675,151,421150.1655629139,121741,1227272,87024539273.3257,294999.2191062981,No Mode,0.3916250504135985
Anguilla,21324,151,141.2185430463576,62,282,3293.038587196469,57.38500315584612,94,-0.2066441094180389,17132,151,113.45695364238411,51,192,2821.8364679911683,53.12096072165081,55,-1.7108173714891568
Antigua and Barbuda,166302,151,1101.3377483443708,521,2032,174891.65183222963,418.2004923864027,No Mode,-0.7194676694182403,117122,151,775.6423841059602,394,1194,97253.48459161147,311.85490951981416,400,-1.7304073457530762
Argentina,78465312,151,519637.8278145695,291062,775263,21284211419.050186,145891.09437882144,No Mode,-1.204094547389076,58134898,151,384999.32450331125,159931,603537,21557680388.180664,146825.33973459984,No Mode,-1.3580559455852579
Armenia,5945328,151,39373.03311258278,13713,87990,501919463.79223055,22403.55917688595,No Mode,-0.6924123453099291,4316661,151,28587.158940397352,21652,51072,19133986.041236244,4374.24119605175,22046,3.3913653616758763
Aruba,165345,151,1095.0,624,1809,105041.37333333335,324.1008690721661,807,-0.34302206290230774,138883,151,919.7549668874173,346,1505,157631.95955849896,397.0289152675142,1138,-1.538795981128707
Asia (UN),9809578012,151,64964092.794701986,42000740,90014730,180064007722433.78,13418793.079947012,No Mode,-1.245366060373182,6375757054,151,42223556.64900662,26501850,64688990,223989348729026.75,14966273.708877128,No Mode,-1.574559437937838
Australia,45604574,151,302017.0463576159,188769,408076,3406464636.8978453,58364.92642758873,No Mode,-1.0327550828339391,32618349,151,216015.55629139073,77952,380412,11002132993.515142,104891.0529717151,No Mode,-1.5393392793516252
Austria,12098151,151,80120.20529801324,58175,134825,386531797.2442389,19660.411929668182,No Mode,0.6928656350683702,14390171,151,95299.14569536423,74605,119622,150009265.88529804,12247.826986257523,No Mode,-0.8218023273561825
