Entity,Data_Type,Births_Sum,Births_Count,Births_Mean,Births_Min,Births_Max,Births_Var,Births_Std,Births_Mode,Births_Kurt,Deaths_Sum,Deaths_Count,Deaths_Mean,Deaths_Min,Deaths_Max,Deaths_Var,Deaths_Std,Deaths_Mode,Deaths_Kurt
Afghanistan,Estimate,59785680,74,807914.5945945946,383985,1469029,114345989386.24435,338150.8382160901,No Mode,-1.067312718582786,20413288,74,275855.24324324325,218356,362220,1137253272.7071457,33723.185980970804,No Mode,-0.4805759320738896
Afghanistan,Projection,138669191,77,1800898.5844155843,1492956,1912670,14204230541.403961,119181.5025136198,No Mode,0.13641846399538426,46275351,77,600978.5844155845,243182,1161692,84931641558.50925,291430.33740245586,No Mode,-1.172458053699341
Africa (UN),Estimate,1956976419,74,26445627.283783782,10878554,46063892,120661782683027.3,10984615.727599546,No Mode,-1.220559965299234,662343351,74,8950585.824324325,6126234,12097038,3456901416010.0645,1859274.4326779908,No Mode,-1.5488141746884598
Africa (UN),Projection,4168954774,77,54142269.79220779,46621060,56538320,6546986488888.294,2558707.9725690256,No Mode,1.128056352969324,1778336592,77,23095280.415584415,11522896,38248508,66798715380903.27,8173048.108319397,No Mode,-1.1934041524201593
Albania,Estimate,4456410,74,60221.75675675676,28803,85490,311625481.22769314,17652.917074174828,No Mode,-1.2248188628942656,1534665,74,20738.716216216217,16707,29245,15358256.50740467,3918.9611515559413,No Mode,-0.11558297923339644
Albania,Projection,1057854,77,13738.363636363636,7147,28283,32010829.9712919,5657.811411782112,No Mode,-0.12358255974670129,2183426,77,28356.18181818182,22511,30694,5063758.861244012,2250.2797295545306,No Mode,-0.09945836978904365
Algeria,Estimate,53801511,74,727047.4459459459,456352,1042868,25687795930.579254,160274.12745224743,No Mode,-0.7809655876417221,15760765,74,212983.3108108108,146103,296800,2779119111.3130274,52717.351140900726,No Mode,-1.4957989603918722
Algeria,Projection,57322561,77,744448.8441558442,598006,881823,6869415665.133303,82881.9381115892,No Mode,-0.8929555727288614,37130863,77,482219.0,216165,698466,21578331001.157883,146895.6466378697,No Mode,-1.2458289293160816
American Samoa,Estimate,87123,74,1177.337837837838,731,1894,112353.7884116994,335.1921663936963,986,-0.9402441009463778,15493,74,209.36486486486487,140,331,3515.686967789712,59.29322868413991,142,-1.1518963364648676
American Samoa,Projection,34777,77,451.64935064935065,304,701,13500.046479835944,116.18970040341762,305,-1.233634532821281,31047,77,403.2077922077922,337,458,1296.8509911141512,36.01181738143954,357,-1.348355988241148
Americas (UN),Projection,1968020388,151,13033247.602649007,9497416,16576457,4647810391181.289,2155878.102115537,No Mode,-1.2876182609570082,1342922431,151,8893526.033112584,4491792,13990600,12790409983413.562,3576368.26730883,No Mode,-1.6222265005844934
