Entity,Births_Combined,Deaths_Combined,Population in thousands,Urban Population (%),Dependency Ratio (%),region,Background
Afghanistan,104667509,28601920,2865117.147,21.681071485148514,86.0989900990099,Asia,"Ahmad Shah DURRANI unified the Pashtun tribes and founded Afghanistan in 1747. The country served as a buffer between the British and Russian Empires until it won independence from notional British control in 1919. A brief experiment in increased democracy ended in a 1973 coup and a 1978 communist countercoup. The Soviet Union invaded in 1979 to support the tottering Afghan communist regime, touching off a long and destructive war. Internationally supported anti-communist mujahidin rebels forced the USSR to withdraw in 1989. A series of subsequent civil wars saw Kabul finally fall in 1996 to the Taliban, a hardline Pakistani-sponsored movement. Following the 11 September 2001 terrorist attacks, a US and Allied military action toppled the Taliban for sheltering Usama BIN LADIN. A UN-sponsored Bonn Conference in 2001 established a process for political reconstruction that included the adoption of a new constitution, a presidential election in 2004, and National Assembly elections in 2005. In 2004, Hamid KARZAI became the first democratically elected president of Afghanistan, and he was reelected in 2009. Ashraf Ghani AHMADZAI succeeded him as president in 2014 following a disputed election. The Taliban conducted an insurgency for two decades against the Afghan Government and forces from the United States and other countries. In February 2020, the US and the Taliban signed an agreement that led to the withdrawal of international forces in exchange for commitments on counterterrorism and other assurances. The Taliban took over Afghanistan on 15 August 2021.The Taliban established an all-male interim leadership structure dominated by Pashtun clerics under the leadership of Haivatrullah AKHUNDZADA. The Taliban issued numerous edicts that constrained women's mobility, ability to study and work, and access to education beyond primary school. To date, no country has recognized the Taliban as the government of Afghanistan."
Albania,5003901,2279384,267686.965,48.28068079207921,65.77234653465347,Europe,"After declaring independence from the Ottoman Empire in 1912, Albania experienced a period of political upheaval that led to a short-lived monarchy, which ended in 1939 when Italy conquered the country. Germany then occupied Albania in 1943, and communist partisans took over the country in 1944. Albania allied itself first with the USSR (until 1960) and then with China (until 1978). In the early 1990s, Albania ended communist rule and established a multiparty democracy.  Government-endorsed pyramid schemes in 1997 led to economic collapse and civil disorder, which only ended when UN peacekeeping troops intervened. In 1999, some 450,000 ethnic Albanians fled from Kosovo to Albania to escape the war with the Serbs. Albania joined NATO in 2009 and became an official candidate for EU membership in 2014. "
Algeria,76097046,23970993,3219728.522,58.0721105940594,72.3259405940594,Africa,"Algeria has known many empires and dynasties, including the ancient Numidians (3rd century B.C.), Phoenicians, Carthaginians, Romans, Vandals, Byzantines, over a dozen different Arab and Amazigh dynasties, Spaniards, and Ottoman Turks. Under the Turks, the Barbary pirates operated from North Africa and preyed on shipping, from about 1500 until the French captured Algiers in 1830. The French southward conquest of Algeria proceeded throughout the 19th century and was marked by many atrocities. A bloody eight-year struggle culminated in Algerian independence in 1962. Algeria's long-dominant political party, the National Liberation Front (FLN), was established in 1954 as part of the struggle for independence and has since played a large role in politics, though it is falling out of favor with the youth and current President Abdelmadjid TEBBOUNE. The Government of Algeria in 1988 instituted a multi-party system in response to public unrest, but the surprising first-round success of the Islamic Salvation Front (FIS) in the 1991 legislative election led the Algerian military to intervene and postpone the second round of elections to prevent what the secular elite feared would be an extremist-led government from assuming power. An army crackdown on the FIS escalated into an FIS insurgency and intense violence from 1992-98 that resulted in over 100,000 deaths, many of which were attributed to extremist groups massacring villagers. The government gained the upper hand by the late 1990s, and FIS’s armed wing, the Islamic Salvation Army, disbanded in 2000. FIS membership is now illegal. In 1999, Abdelaziz BOUTEFLIKA won the presidency with the backing of the military, in an election that was boycotted by several candidates protesting alleged fraud.  He won subsequent elections in 2004, 2009, and 2014. Widespread protests against his decision to seek a fifth term broke out in early 2019. BOUTEFLIKA resigned in April 2019, and in December 2019, Algerians elected former Prime Minister Abdelmadjid TEBBOUNE as the country’s new president. A longtime FLN member, TEBBOUNE ran for president as an independent. In 2020, Algeria held a constitutional referendum on governmental reforms, which TEBBOUNE enacted in 2021. Subsequent reforms to the national electoral law introduced open-list voting to curb corruption. The new law also eliminated gender quotas in Parliament, and the 2021 legislative elections saw female representation plummet. The referendum, parliamentary elections, and local elections saw record-low voter turnout."
American Samoa,103220,26441,3942.647,80.83968356435643,74.4430693069307,Oceania,"Tutuila -- the largest island in American Samoa -- was settled by 1000 B.C., and the island served as a refuge for exiled chiefs and defeated warriors from the other Samoan islands. The Manu’a Islands, which are also now part of American Samoa, developed a traditional chiefdom that maintained autonomy by controlling oceanic trade. In 1722, Dutch explorer Jacob ROGGEVEEN was the first European to sail through the Manu’a Islands, and he was followed by French explorer Louis Antoine DE BOUGAINVILLE in 1768. Whalers and missionaries arrived in American Samoa in the 1830s, but American and European traders tended to favor the port in Apia -- now in independent Samoa -- over the smaller and less-developed Pago Pago on Tutuila. In the mid-1800s, a dispute arose in Samoa over control of the Samoan archipelago, with different chiefs gaining support from Germany, the UK, and the US. In 1872, the high chief of Tutuila offered the US exclusive rights to Pago Pago in return for US protection, but the US rejected this offer. As fighting resumed, the US agreed to the chief’s request in 1878 and set up a coaling station at Pago Pago. In 1899, with continued disputes over succession, Germany and the US agreed to divide the Samoan islands, while the UK withdrew its claims in exchange for parts of the Solomon Islands. Local chiefs on Tutuila formally ceded their land to the US in 1900, followed by the chief of Manu’a in 1904. The territory was officially named “American Samoa” in 1911.The US administered the territory through the Department of the Navy. In 1949, there was an attempt to organize the territory, granting it formal self-government, but local chiefs helped defeat the measure in the US Congress. Administration was transferred to the Department of the Interior in 1951, and in 1967, American Samoa adopted a constitution that provides significant protections for traditional Samoan land-tenure rules, language, and culture. In 1977, after four attempts, voters approved a measure to directly elect their governor. Nevertheless, American Samoa officially remains an unorganized territory, and people born in American Samoa are US nationals rather than US citizens.  "
Andorra,53769,38265,5498.29,83.57869653465347,48.460752475247524,Europe,"The landlocked Principality of Andorra -- one of the smallest states in Europe and nestled high in the Pyrenees between the French and Spanish borders -- is the last independent survivor of the Hispanic March states created by Frankish King Charlemagne in 795 after he halted the Moorish invasion of Spain. The March states were a series of buffer states to keep the Muslim Moors from advancing into Christian France. For 715 years, from 1278 to 1993, Andorrans lived under a unique co-principality, ruled by French and Spanish leaders (from 1607 onward, the French chief of state and the Bishop of Urgell). In 1993, this feudal system was modified with the introduction of a modern constitution; the co-princes remained as titular heads of state, but the government transformed into a parliamentary democracy. Andorra's winter sports, summer climate, and duty-free shopping attract approximately 8 million people each year. Andorra has also become a wealthy international commercial center because of its mature banking sector and low taxes. As part of the effort to modernize its economy, Andorra has opened to foreign investment and engaged in other reforms, such as tax initiatives aimed at supporting broader infrastructure. Although not a member of the EU, Andorra enjoys a special relationship with the bloc that is governed by various customs and cooperation agreements, and Andorra uses the euro as its national currency."
Angola,92492814,24577568,2489390.059,45.71975514851486,87.69109900990098,Africa,"Bantu-speaking people settled in the area now called Angola in 6th century A.D.; by the 10th century various Bantu groups had established kingdoms, of which Kongo became the most powerful. From the late-14th to the mid-19th century, a Kingdom of Kongo stretched across central Africa from present-day northern Angola into the current Congo republics. It traded heavily with the Portuguese who, beginning in the 16th century, established coastal colonies and trading posts and introduced Christianity. Angola became a major hub of the transatlantic slave trade conducted by the Portuguese and other European powers -- often in collaboration with local kingdoms, including the Kongo. The Angola area is estimated to have lost as many as 4 million people as a result of the slave trade. The Kingdom of Kongo’s main rival was the Kingdom of Ndongo to its south, whose most famous leader was Nzingha Mbande, the 17th century diplomat to the Portuguese and later Queen, who successfully fought off Portuguese encroachment during her nearly 40-year reign. Smaller kingdoms, such as the Matamba and Ngoyo, often came under the control of the Kongo or Ndongo Kingdoms. During the Berlin Conference of 1884-85, Portugal and other European powers set Angola’s modern borders, but the Portuguese did not fully control large portions of the territory. Portugal gained control of the Kingdom of Kongo in 1888 when Kongo’s King Pedro V sought Portuguese military assistance in exchange for becoming a vassal. After a revolt in 1914, Portugal imposed direct rule over the colony and abolished the Kongo Kingdom. The Angolan National Revolution began in 1961, and in 1975, Angola won its independence when Portugal’s dictatorship fell, a collapse that occurred in part because of growing discontent over conflict in Angola and other colonies. Angola’s multiple independence movements soon clashed, with the Popular Movement for Liberation of Angola (MPLA), led by Agostinho NETO, taking power and the National Union for the Total Independence of Angola (UNITA), led by Jonas SAVIMBI, emerging as its main competitor. After NETO’s death in 1979, Jose Eduardo DOS SANTOS, also of the MPLA, became president. Over time, the Angolan civil war escalated and became a major Cold War conflict, with the Soviet Union and Cuba supporting the MPLA and the US and South Africa supporting UNITA. Up to 1.5 million lives may have been lost -- and 4 million people displaced -- during the more than a quarter-century of fighting. SAVIMBI's death in 2002 ended UNITA's insurgency and cemented the MPLA's hold on power. DOS SANTOS did not seek reelection in 2017 and supported Joao LOURENCO’s successful bid to become president. LOURENCO was reelected in 2022. Angola scores low on human development indexes despite using its large oil reserves to rebuild since 2002. "
Anguilla,17332,8213,1099.18,100.0,68.00577227722772,Americas,"English settlers from Saint Kitts first colonized Anguilla in 1650. Great Britain administered the island until the early 19th century, when -- against the wishes of the inhabitants -- Anguilla was incorporated into a single British dependency along with Saint Kitts and Nevis. Several attempts at separation failed. In 1971, two years after a revolt, Anguilla was finally allowed to secede; this arrangement was formally recognized in 1980, when Anguilla became a separate British dependency. In 2017, Hurricane Irma caused extensive damage on the island, particularly to communications and residential and business infrastructure."
Antigua and Barbuda,133438,59356,7785.945,30.83603891089109,62.6009900990099,Americas,"The Siboney were the first people to inhabit the islands of Antigua and Barbuda in 2400 B.C., but the Arawaks populated the islands when Christopher COLUMBUS landed on his second voyage in 1493. Early Spanish and French settlements were succeeded by an English colony in 1667. Slavery, which provided labor on the sugar plantations on Antigua, was abolished in 1834. The islands became an independent state within the British Commonwealth of Nations in 1981. In 2017, Hurricane Irma passed over the island of Barbuda, devastating the island and forcing the evacuation of the population to Antigua. Almost all of the structures on Barbuda were destroyed and the vegetation stripped, but Antigua was spared the worst."
Argentina,60530698,29974452,3636766.299,86.21172643564356,56.97282178217822,Americas,"In 1816, the United Provinces of the Río de la Plata declared their independence from Spain. After Bolivia, Paraguay, and Uruguay went their separate ways, the area that remained became Argentina. European immigrants heavily shaped the country's population and culture, with Italy and Spain providing the largest percentage of newcomers from 1860 to 1930. Until about the mid-20th century, much of Argentina's history was dominated by periods of internal political unrest and conflict between civilian and military factions. After World War II, former President Juan Domingo PERÓN -- the founder of the Peronist political movement -- introduced an era of populism, serving three non-consecutive terms in office until his death in 1974. Direct and indirect military interference in government throughout the PERÓN years led to a military junta taking power in 1976. In 1982, the junta failed in its bid to seize the Falkland Islands (Islas Malvinas) by force from the United Kingdom. Democracy was reinstated in 1983 and has persisted despite numerous challenges, the most formidable of which was a severe economic crisis in 2001-02 that led to violent public protests and the successive resignations of several presidents. The years 2003-15 saw Peronist rule by Néstor KIRCHNER (2003-07) and his spouse Cristina FERNÁNDEZ DE KIRCHNER (2007-15), who oversaw several years of strong economic growth (2003-11) followed by a gradual deterioration in the government’s fiscal situation and eventual economic stagnation and isolation. Argentina underwent a brief period of economic reform and international reintegration under Mauricio MACRI (2015-19), but a recession in 2018-19 and frustration with MACRI’s economic policies ushered in a new Peronist government in 2019 led by President Alberto FERNÁNDEZ and Vice President Cristina FERNÁNDEZ DE KIRCHNER. Argentina's high public debts, its pandemic-related inflationary pressures, and systemic monetary woes served as the catalyst for the 2023 elections, culminating with President Javier MILEI's electoral success. Argentina has since eliminated half of its government agencies and is seeking shock therapy to amend taxation and monetary policies."
Aruba,128176,77510,8184.431,48.49975663366337,59.053425742574255,Americas,"Discovered and claimed for Spain in 1499, Aruba was acquired by the Dutch in 1636. Three main industries have since dominated the island's economy: gold mining, oil refining, and tourism. A 19th-century gold rush was followed by prosperity brought on by the opening of an oil refinery in 1924. The last decades of the 20th century saw a boom in the tourism industry. Aruba seceded from the Netherlands Antilles in 1986 and became a separate, semi-autonomous member of the Kingdom of the Netherlands. Movement toward full independence was halted at Aruba's request in 1990."
